,property_id,locality_name,postal_code,street_name,house_number,latitude,longitude,property_type,property_subtype,price,type_of_sale,number_of_rooms,living_area,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_good,number_of_facades,swimming_pool,state_of_building,is_belgian
7127,11144200,gilly,6060,rue des Nutons 210 bte 21,210,50.4319538,4.4735833,APARTMENT,APARTMENT,175000.0,BUY_REGULAR,9.0,90.0,SEMI_EQUIPPED,1.0,0.0,0,,,,,,,,,True
7128,11162700,schaarbeek,1030,,,,,APARTMENT,APARTMENT,315000.0,BUY_REGULAR,7.0,158.0,,1.0,,0,,,,,,,,GOOD,True
7129,11152107,herenthout,2270,Albertstraat,6,51.1415215,4.75555,HOUSE,HOUSE,435000.0,BUY_REGULAR,,211.0,INSTALLED,1.0,,1,1.0,,1.0,,239.0,3.0,,AS_NEW,True
7130,11142545,graven,1390,,,,,HOUSE,HOUSE,595000.0,BUY_REGULAR,,206.0,USA_INSTALLED,1.0,,1,,,1.0,374.0,374.0,3.0,,,True
7131,11142900,turnhout,2300,Spoorwegstraat,69,51.3152047,4.9344803,APARTMENT,GROUND_FLOOR,139000.0,BUY_REGULAR,,76.0,SEMI_EQUIPPED,1.0,,1,1.0,,,,,3.0,,TO_BE_DONE_UP,True
7132,11125449,anderlecht,1070,Demosthenesstraat,240,50.839565,4.3028987,APARTMENT,APARTMENT,239000.0,BUY_REGULAR,,97.0,,1.0,,0,1.0,7.0,,,,2.0,,GOOD,True
7133,11111123,nijvel,1400,Boulevard de la Fleur de Lys,"3, 13",50.5997636,4.3268071,APARTMENT,APARTMENT,249000.0,BUY_REGULAR,,100.0,INSTALLED,1.0,,1,1.0,11.0,,,,2.0,,TO_BE_DONE_UP,True
7134,11088938,sint-pieters-woluwe,1150,,,,,APARTMENT,APARTMENT,495000.0,BUY_REGULAR,,127.0,HYPER_EQUIPPED,1.0,0.0,0,1.0,10.0,,,,2.0,0.0,GOOD,True
7135,11159084,luik,4020,Quai du Longdoz,52,50.6367974,5.5830355,APARTMENT,APARTMENT,149000.0,BUY_REGULAR,,56.0,INSTALLED,1.0,0.0,0,1.0,2.0,,,,2.0,0.0,AS_NEW,True
7136,11160469,pelt,3910,Peerderbaan,94,51.2187047,5.4768774,HOUSE,HOUSE,375000.0,BUY_REGULAR,,218.0,,,0.0,0,1.0,,,,944.0,4.0,1.0,,True
